raman_shift,arithmetic_mean,spline_mean,robust_median,wasserstein_barycenter
400.0,0.0048004134927646346,0.004750589540490741,0.004552618449120855,0.002511373012566096
401.25,0.0024661961962158226,0.002481737892401035,0.00236023391210056,0.002526255099529046
402.5,0.0016788807866526415,0.0017241850293608942,0.0015089746288736864,0.002541115052882788
403.75,0.0016938110505388653,0.0017123244248452743,0.001510945419434768,0.002555951859728324
405.0,0.0017992911448557155,0.001825943969203365,0.0016922737088455521,0.00257076451596259
406.25,0.0021082410721149705,0.0020926292123254007,0.0019863795001459805,0.002585552026625474
407.5,0.002425983840258561,0.002411424059214327,0.0022581722486790376,0.002600313406244156
408.75,0.002735791378715423,0.0027133593367973385,0.0025218685756383703,0.0026150476791781717
410.0,0.0028422272399217957,0.0027858709819321838,0.002639400212850149,0.0026297538799606494
411.25,0.0025399730591886736,0.002521311031981253,0.002389983226318133,0.0026444310536404394
412.5,0.002187735463154762,0.002206594278304609,0.0021131142757537633,0.002659078256120873
413.75,0.0021395720250375954,0.0022551979834862118,0.002092972396055123,0.0026736945544958745
415.0,0.002716906529368881,0.00277500863641984,0.0026329323301014433,0.0026882790273871737
416.25,0.0035882411190713993,0.0035213176706001114,0.0034701600883565273,0.002702830765275247
417.5,0.0040016225924355,0.0038399961026690365,0.0038823130561177416,0.002717348870831086
418.75,0.0037213545716399355,0.003700107920161747,0.0035999074562603423,0.0027318324592441007
420.0,0.003371497356179012,0.003517296713444821,0.0032320616230111718,0.0027462806585470847
421.25,0.003476695811770779,0.003479867942922521,0.003340299859188633,0.00276069260993916
422.5,0.0036459200643101037,0.003574456623544613,0.003510477555715756,0.0027750674681048465
423.75,0.0034022427315041825,0.0035224600213154943,0.003294267039636117,0.002789404401531026
425.0,0.0035683086165623516,0.003685986751099568,0.003444740277744518,0.002803702592820193
426.25,0.004185091975691004,0.004097012383566496,0.004059727036245552,0.0028179612389993293
427.5,0.004637755450582805,0.004511693378909362,0.004480936750044894,0.0028321795518270023
428.75,0.0045681662684890515,0.004580827055602463,0.004399580045397658,0.0028463567580952545
430.0,0.004650586092763257,0.004643601333963188,0.004380386198251181,0.00286049209992815
431.25,0.00482692434566801,0.004794740157004852,0.0044759836829219,0.0028745848350763678
432.5,0.004945210903704276,0.00498627475005116,0.004569953647966322,0.0028886342372069504
433.75,0.0052071420077449216,0.005184031226728824,0.004910712536087994,0.002902639596190393
435.0,0.0053052501531443575,0.005212992702856636,0.005099795458651005,0.002916600218380991
436.25,0.004824066566582821,0.004810279770627841,0.004647607400589629,0.0029305154268933287
437.5,0.004274432872729281,0.004319508893115827,0.004071066430702793,0.0029443845618759993
438.75,0.004109343372114202,0.0041431183395287405,0.0039254861233213026,0.002958206980777068
440.0,0.004103949445645672,0.004104238411288986,0.003949877195480292,0.0029719820586061895
441.25,0.003928537014731848,0.00398762977021977,0.0037284371962196324,0.002985709188192657
442.5,0.0038325976448021497,0.003915175509061754,0.0035522240640154675,0.002999387780434552
443.75,0.0037796939537458846,0.003799723384614481,0.003523129322877093,0.0030130172645481015
445.0,0.0037379683654547072,0.0037251824159179325,0.0035446978027456537,0.0030265970883036333
446.25,0.003668400177488536,0.0036644957756737638,0.003494756600299528,0.003040126718263343
447.5,0.0035493945769648895,0.0035471543053863827,0.0033666781727907345,0.0030536056400090384
448.75,0.0033662439694843492,0.003315074308756585,0.003181354045322157,0.0030670333583635127
450.0,0.003049246167480564,0.0031090782190952996,0.002903765437976001,0.003080409397608219
451.25,0.0029142575694967817,0.002972824959110916,0.0027854401066744927,0.003093733301692329
452.5,0.002982952177618345,0.002939632980015804,0.0028583747315610556,0.003107004634437505
453.75,0.0030445065149559475,0.0029751678731900974,0.0029009266607389374,0.0031202229797331104
455.0,0.0029948545498167697,0.002989695244147854,0.002841709644806311,0.003133387941727998
456.25,0.0029324478133607662,0.002896848394054034,0.002766125421479261,0.003146499145013001
457.5,0.002860543299426874,0.0028050047039777956,0.0027009811733826605,0.003159556234798476
458.75,0.0028173767072232907,0.00274626604200315,0.002699837053253434,0.003172558877082812
460.0,0.0024666586137502993,0.0024011748969230925,0.0023959921406757293,0.0031855067588152743
461.25,0.0018793317170375167,0.001956309997993237,0.001828647414876058,0.003198399588050446
462.5,0.00160033345315121,0.001743256844769692,0.0015721116790483778,0.003211237094096491
463.75,0.0019112624703326376,0.0019363346516896591,0.0018916770035907599,0.0032240190276557825
465.0,0.0023305031826444567,0.0022315982193769814,0.0022449287281344843,0.003236745160955902
466.25,0.0023134725185833403,0.002299482362800219,0.0021389752687728603,0.003249415287875691
467.5,0.0022006599381012137,0.002237355915871306,0.0019762060231774316,0.0032620292240619487
468.75,0.002041672386264998,0.0021164047791520225,0.0018937659994059403,0.003274586807039095
470.0,0.0020533608281152185,0.0020643175512852865,0.0019851539377113768,0.0032870878963093724
471.25,0.0022115293920009125,0.0021551023477489922,0.0021458709293959437,0.003299532373447126
472.5,0.0021959494395302442,0.0021345049025127158,0.0020839201236913696,0.0033119201421828986
473.75,0.002075154579069345,0.0021282400218472744,0.001976745164043111,0.003324251128481124
475.0,0.002393787493398844,0.0024043836517787225,0.002264347984668587,0.0033365252806081074
476.25,0.002847513104075364,0.002763998438404005,0.0026527745240924826,0.003348742569191227
477.5,0.0028371085141206905,0.0028385813793872093,0.0026441085334644432,0.003360902987273202
478.75,0.0023749521840819047,0.002453209162237804,0.002221406144341852,0.003373006550352951
480.0,0.0020572767808516605,0.002097857081972485,0.0018777677597319286,0.0033850532964210134
481.25,0.002162246212243403,0.0021877951836134705,0.001993248692477676,0.003397043285985616
482.5,0.002490442784764134,0.002499375738437742,0.0023438640836586236,0.0034089766020909
483.75,0.0026710685812313113,0.002669258984935544,0.002488116392761589,0.003420853350323704
485.0,0.002708292855800323,0.0027191488968357036,0.00249505918441359,0.0034326736588160267
486.25,0.0027853061373494655,0.002771750546583541,0.0025961959565069057,0.003444437678233445
487.5,0.0029245028188564603,0.002890472811628449,0.0027434826941569656,0.00345614558176037
488.75,0.003001119671828582,0.0029543768043140332,0.002827919657986773,0.0034677975650707965
490.0,0.003005358029852304,0.002966428352647368,0.0028877574131432296,0.0034793938462953544
491.25,0.0028180982527766375,0.002790873813497246,0.0027603651251259403,0.003490934665975519
492.5,0.0025729780926902275,0.0025699770312755973,0.002444144009156227,0.0035024202870109445
493.75,0.002421029361711033,0.002463560010360289,0.0022265813546166026,0.003513850994597486
495.0,0.002717025230761515,0.0027612622258363748,0.0025032934253433996,0.0035252270961567958
496.25,0.003502005814771028,0.0035242334710026044,0.0032783108900978123,0.0035365489212551555
497.5,0.004360233508930246,0.004304359638980932,0.004063051507908111,0.0035478168215169925
498.75,0.00474443387608739,0.004755430408321839,0.004427918611033832,0.003559031170523836
500.0,0.00496138313340176,0.005053356228660579,0.004666913732133694,0.003570192363712049
501.25,0.005501628635688456,0.005502485283715359,0.005186909323554926,0.00358130081825353
502.5,0.006109285637222119,0.00602348108330075,0.005707632952384127,0.0035923569729344497
503.75,0.0064395407202436986,0.006455334627284145,0.005994680123908548,0.0036033612880203383
505.0,0.006636678835293082,0.0067338356154976655,0.006219928784357203,0.0036143142451155012
506.25,0.006973614900054022,0.006957309298939766,0.006564288237794465,0.0036252163470124
507.5,0.0072273406042876,0.007186263522701005,0.006782692292964291,0.0036360681175324505
508.75,0.0073212053311569126,0.0072749938863443525,0.006833972249429163,0.0036468701013577334
510.0,0.007400969856158778,0.007375417054608891,0.0068930937903166,0.003657622863855994
511.25,0.007578644075981558,0.007648342280873186,0.007034811714547049,0.0036683269908947156
512.5,0.007864584499709216,0.007951834172922669,0.007350616885492131,0.0036789830886483415
513.75,0.00825823706460055,0.008185263920398651,0.007777305599672158,0.003689591783396689
515.0,0.008367435931001338,0.008255783584746074,0.007878432771405763,0.0037001537213154725
516.25,0.008163999148219555,0.008117274590848194,0.007636534617872828,0.0037106695682583043
517.5,0.007756785494220306,0.007723659624425167,0.0072540398469142404,0.0037211400095291973
518.75,0.007207738174431692,0.007192885238071001,0.006770748903519486,0.0037315657496505067
520.0,0.00670417731882109,0.00678216374520849,0.006311816383157599,0.003741947512119323
521.25,0.006524087523855967,0.00654992469101062,0.006124955598778772,0.003752286039159119
