filename,included,reason,file_type,numeric_points,x_min_cm-1,x_max_cm-1,median_spacing_cm-1,intensity_min,intensity_max,intensity_mean,l2_norm,metadata_or_blank_lines,grid_flag
Heritage special RT after 24 h 532nm 50% 600g 50xL 10s 10times 400-3500cm-1 200hole.txt,True,non-bacterial/control,.txt,2118,400.083,3499.09,1.4500000000002728,7977.39,36611.8,22189.539178470255,1119492.1247831376,46,
HERITAGE SPECIAL_BACTERIA_D2.txt,False,explicit BACTERIA label,.txt,1957,400.0,3500.0,1.584899999999834,930.12128,2197.2659,1097.5251321512521,48647.42624041617,0,
Heritage toned after heating 532nm 50% 600g 50xL 10s 10times 400-3500cm-1 200hole.txt,True,non-bacterial/control,.txt,2118,400.17,3499.68,1.4500000000002728,4346.89,24791.8,12416.33036355052,657790.1147268938,46,
Heritage toned basic 532nm 50% 600g 50xL 10s 10times 400-3500cm-1 200hole.txt,True,non-bacterial/control,.txt,2118,400.083,3499.09,1.4500000000002728,4752.92,19408.0,9890.439546742211,504352.3936300349,46,
Heritage toned Cold 532nm 50% 600g 50xL 10s 10times 400-3500cm-1 200hole.txt,True,non-bacterial/control,.txt,2118,400.083,3499.09,1.4500000000002728,4519.15,22963.3,11685.883172804533,607743.6103786924,46,
Heritage toned RT 532nm 50% 600g 50xL 10s 10times 400-3500cm-1 200hole.txt,True,non-bacterial/control,.txt,2118,400.17,3499.68,1.4500000000002728,3871.48,23022.2,10783.956978281396,578853.9284818813,46,
Heritage toned RT after 24h 532nm 50% 600g 50xL 10s 10times 400-3500cm-1 200hole.txt,True,non-bacterial/control,.txt,2118,400.083,3499.09,1.4500000000002728,2480.36,14581.5,7035.545472143531,373822.3906977105,46,
HERITAGE TONED_BACTERIA_D2.txt,False,explicit BACTERIA label,.txt,1957,400.0,3500.0,1.584899999999834,909.854,1322.8877,1051.0054563617782,46546.6127764094,0,
Nandani full cream after heating 532nm 50% 600g 50xL 10s 10times 400-3500cm-1 200hole.txt,True,non-bacterial/control,.txt,2118,400.17,3499.68,1.4500000000002728,2110.58,20444.1,8173.126779981114,444822.4725592507,46,
Nandani full cream basic 532nm 50% 600g 50xL 10s 10times 400-3500cm-1 200hole.txt,True,non-bacterial/control,.txt,2118,400.083,3499.09,1.4500000000002728,4201.91,30598.8,11426.112162417376,600892.2421272998,46,
Nandani full cream Cold 532nm 50% 600g 50xL 10s 10times 400-3500cm-1 200hole.txt,True,non-bacterial/control,.txt,2118,400.083,3499.09,1.4500000000002728,4071.4,27882.3,11517.279282341833,604994.7545049516,46,
Nandani full cream RT 532nm 50% 600g 50xL 10s 10times 400-3500cm-1 200hole.txt,True,non-bacterial/control,.txt,2118,400.17,3499.68,1.4500000000002728,331.418,26677.4,11475.40866855524,625547.6176848727,46,
Nandani full cream RT after 24 h 532nm 50% 600g 50xL 10s 10times 400-3500cm-1 200hole.txt,True,non-bacterial/control,.txt,2118,400.083,3499.09,1.4500000000002728,4596.08,22624.2,11625.126189801702,585955.9727811129,46,
Nandani toned milk basic 532nm 50% 600g 50xL 10s 10times 400-3500cm-1 200hole.txt,True,non-bacterial/control,.txt,2118,400.083,3499.09,1.4500000000002728,8710.55,35539.7,21321.006515580735,1020777.4563836848,46,
Nandani toned milk Cold 532nm 50% 600g 50xL 10s 10times 400-3500cm-1 200hole.txt,True,non-bacterial/control,.txt,2118,400.083,3499.09,1.4500000000002728,4814.72,25060.8,12893.332870632674,664256.1800776728,46,
Nandani toned milk RT 532nm 50% 600g 50xL 10s 10times 400-3500cm-1 200hole after heating.txt,True,non-bacterial/control,.txt,2118,400.17,3499.68,1.4500000000002728,3089.21,21528.5,10333.343663833806,553637.9198210667,46,
Nandani toned milk RT 532nm 50% 600g 50xL 10s 10times 400-3500cm-1 200hole.txt,True,non-bacterial/control,.txt,2118,400.17,3499.68,1.4500000000002728,3067.03,20968.5,10554.031709159583,558272.2440384164,46,
Nandani toned milk RT after 24 h 532nm 50% 600g 50xL 10s 10times 400-3500cm-1 200hole.txt,True,non-bacterial/control,.txt,2118,400.083,3499.09,1.4500000000002728,2389.3,14740.7,7374.68626062323,385396.02756197995,46,
Nandani toned milk RT after 24h 532nm 50% 600g 50xL 10s 10times 400-3500cm-1 200hole.txt,True,non-bacterial/control,.txt,2118,400.083,3499.09,1.4500000000002728,11580.3,37709.5,24672.708404154862,1173825.953409627,46,
NANDHINI FC-BACTERIA-D2.txt,False,explicit BACTERIA label,.txt,1957,400.0,3500.0,1.584899999999834,849.06891,2517.0671,955.9142793203883,42355.09534351081,0,
NANDHINI TONED_BACTERIA_D2.txt,False,explicit BACTERIA label,.txt,1957,400.0,3500.0,1.584899999999834,843.39453,1161.7515,933.5812504803271,41334.59214746879,0,
NANDHINI TONED_NON BACTERIA_D2.txt,True,non-bacterial/control,.txt,1957,400.0,3500.0,1.584899999999834,947.28046,2806.1257,1084.9216985794583,48095.52416380087,0,DIFFERS
Nestle toned milk after heating 532nm 50% 600g 50xL 7s 20times 400-3500cm-1 200hole.txt,True,non-bacterial/control,.txt,2118,400.17,3499.68,1.4500000000002728,7929.0,37921.7,23819.760698772425,1198598.710885111,46,
Nestle toned milk basic 532nm 50% 600g 50xL 7s 20times 400-3500cm-1 200hole.txt,True,non-bacterial/control,.txt,2118,400.083,3499.09,1.4500000000002728,4501.84,24938.6,15031.246610009443,767026.2705298781,46,
Nestle toned milk Cold 532nm 50% 600g 50xL 7s 20times 400-3500cm-1 200hole.txt,True,non-bacterial/control,.txt,2118,400.083,3499.09,1.4500000000002728,7071.49,35568.8,21238.303413597732,1086762.9174434613,46,
Nestle toned milk RT 532nm 50% 600g 50xL 7s 20times 400-3500cm-1 200hole.txt,True,non-bacterial/control,.txt,2118,400.17,3499.68,1.4500000000002728,5972.1,30395.6,18417.410840415483,936508.3319237027,46,
