method,mean_euclidean_distance,median_euclidean_distance,max_euclidean_distance
robust_median,0.35937718169850635,0.2910571658926526,1.267926755494405
arithmetic_mean,0.36499442759505896,0.3092323822566631,1.2281295652985835
spline_mean,0.36500198553616886,0.3092425239661528,1.228203485023825
wasserstein_barycenter,0.7798671657564479,0.7749949288797257,1.0169554530714828
